City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
327,Vardo,NO,70.3705,31.1107,31.98,80,40,9.22,scattered clouds
328,Tuy Hoa,VN,13.0833,109.3,76.1,91,13,4.21,few clouds
329,Qasigiannguit,GL,68.8193,-51.1922,28.65,89,99,2.01,overcast clouds
330,Sherpur,BD,25.0188,90.0175,80.64,67,0,8.1,clear sky
331,Bud,US,39.447,-86.1758,58.42,96,100,11.72,overcast clouds
332,Inyonga,TZ,-6.7167,32.0667,65.55,95,85,2.82,overcast clouds
333,Kitui,KE,-1.367,38.0106,67.44,78,80,2.19,broken clouds
334,Bhuj,IN,23.2667,69.6667,81.43,50,0,10.83,clear sky
335,Sohbatpur,PK,28.5202,68.5434,95.29,10,7,8.86,clear sky
336,Deputatskiy,RU,69.3,139.9,-0.17,99,100,2.44,overcast clouds
337,Sioux Lookout,CA,50.1001,-91.917,17.67,79,100,12.66,overcast clouds
338,Santander,ES,43.4647,-3.8044,62.71,76,20,11.01,few clouds
339,Port-Gentil,GA,-0.7193,8.7815,84.16,84,40,11.5,scattered clouds
340,Araouane,ML,18.9048,-3.5265,90.97,13,0,11.3,clear sky
341,Cardoso,BR,-20.0819,-49.9142,92.34,30,48,4.97,scattered clouds
342,Ixtapa,MX,20.7,-105.2,76.23,69,0,6.91,clear sky
343,Youghal,IE,51.95,-7.8506,54.09,89,20,11.74,few clouds
344,Amuntai,ID,-2.4177,115.2494,74.17,99,100,2.42,overcast clouds
345,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,69,40,12.66,scattered clouds
